n-1,90%,80%,70%,60%,50%,40%,30%,20%,10%,9%,8%,7%,6%,5%,4%,3%,2%,1%,0.5%,0.2%,0.1%
2.0,0.142,0.289,0.445,0.617,0.816,1.061,1.386,1.886,2.92,3.104,3.32,3.578,3.896,4.303,4.849,5.643,6.965,9.925,14.089,22.327,31.599
3.0,0.137,0.277,0.424,0.584,0.765,0.978,1.25,1.638,2.353,2.471,2.605,2.763,2.951,3.182,3.482,3.896,4.541,5.841,7.453,10.215,12.924
4.0,0.134,0.271,0.414,0.569,0.741,0.941,1.19,1.533,2.132,2.226,2.333,2.456,2.601,2.776,2.999,3.298,3.747,4.604,5.598,7.173,8.61
5.0,0.132,0.267,0.408,0.559,0.727,0.92,1.156,1.476,2.015,2.098,2.191,2.297,2.422,2.571,2.757,3.003,3.365,4.032,4.773,5.893,6.869
6.0,0.131,0.265,0.404,0.553,0.718,0.906,1.134,1.44,1.943,2.019,2.104,2.201,2.313,2.447,2.612,2.829,3.143,3.707,4.317,5.208,5.959
7.0,0.13,0.263,0.402,0.549,0.711,0.896,1.119,1.415,1.895,1.966,2.046,2.136,2.241,2.365,2.517,2.715,2.998,3.499,4.029,4.785,5.408
8.0,0.13,0.262,0.399,0.546,0.706,0.889,1.108,1.397,1.86,1.928,2.004,2.09,2.189,2.306,2.449,2.634,2.896,3.355,3.833,4.501,5.041
9.0,0.129,0.261,0.398,0.543,0.703,0.883,1.1,1.383,1.833,1.899,1.973,2.055,2.15,2.262,2.398,2.574,2.821,3.25,3.69,4.297,4.781
10.0,0.129,0.26,0.397,0.542,0.7,0.879,1.093,1.372,1.812,1.877,1.948,2.028,2.12,2.228,2.359,2.527,2.764,3.169,3.581,4.144,4.587
11.0,0.129,0.26,0.396,0.54,0.697,0.876,1.088,1.363,1.796,1.859,1.928,2.007,2.096,2.201,2.328,2.491,2.718,3.106,3.497,4.025,4.437
12.0,0.128,0.259,0.395,0.539,0.695,0.873,1.083,1.356,1.782,1.844,1.912,1.989,2.076,2.179,2.303,2.461,2.681,3.055,3.428,3.93,4.318
13.0,0.128,0.259,0.394,0.538,0.694,0.87,1.079,1.35,1.771,1.832,1.899,1.974,2.06,2.16,2.282,2.436,2.65,3.012,3.372,3.852,4.221
14.0,0.128,0.258,0.393,0.537,0.692,0.868,1.076,1.345,1.761,1.821,1.887,1.962,2.046,2.145,2.264,2.415,2.624,2.977,3.326,3.787,4.14
15.0,0.128,0.258,0.393,0.536,0.691,0.866,1.074,1.341,1.753,1.812,1.878,1.951,2.034,2.131,2.249,2.397,2.602,2.947,3.286,3.733,4.073
16.0,0.128,0.258,0.392,0.535,0.69,0.865,1.071,1.337,1.746,1.805,1.869,1.942,2.024,2.12,2.235,2.382,2.583,2.921,3.252,3.686,4.015
17.0,0.128,0.257,0.392,0.534,0.689,0.863,1.069,1.333,1.74,1.798,1.862,1.934,2.015,2.11,2.224,2.368,2.567,2.898,3.222,3.646,3.965
18.0,0.127,0.257,0.392,0.534,0.688,0.862,1.067,1.33,1.734,1.792,1.855,1.926,2.007,2.101,2.214,2.356,2.552,2.878,3.197,3.61,3.922
19.0,0.127,0.257,0.391,0.533,0.688,0.861,1.066,1.328,1.729,1.786,1.85,1.92,2.0,2.093,2.205,2.346,2.539,2.861,3.174,3.579,3.883
20.0,0.127,0.257,0.391,0.533,0.687,0.86,1.064,1.325,1.725,1.782,1.844,1.914,1.994,2.086,2.197,2.336,2.528,2.845,3.153,3.552,3.85
21.0,0.127,0.257,0.391,0.532,0.686,0.859,1.063,1.323,1.721,1.777,1.84,1.909,1.988,2.08,2.189,2.328,2.518,2.831,3.135,3.527,3.819
22.0,0.127,0.256,0.39,0.532,0.686,0.858,1.061,1.321,1.717,1.773,1.835,1.905,1.983,2.074,2.183,2.32,2.508,2.819,3.119,3.505,3.792
23.0,0.127,0.256,0.39,0.532,0.685,0.858,1.06,1.319,1.714,1.77,1.832,1.9,1.978,2.069,2.177,2.313,2.5,2.807,3.104,3.485,3.768
24.0,0.127,0.256,0.39,0.531,0.685,0.857,1.059,1.318,1.711,1.767,1.828,1.896,1.974,2.064,2.172,2.307,2.492,2.797,3.091,3.467,3.745
25.0,0.127,0.256,0.39,0.531,0.684,0.856,1.058,1.316,1.708,1.764,1.825,1.893,1.97,2.06,2.167,2.301,2.485,2.787,3.078,3.45,3.725
26.0,0.127,0.256,0.39,0.531,0.684,0.856,1.058,1.315,1.706,1.761,1.822,1.89,1.967,2.056,2.162,2.296,2.479,2.779,3.067,3.435,3.707
27.0,0.127,0.256,0.389,0.531,0.684,0.855,1.057,1.314,1.703,1.758,1.819,1.887,1.963,2.052,2.158,2.291,2.473,2.771,3.057,3.421,3.69
28.0,0.127,0.256,0.389,0.53,0.683,0.855,1.056,1.313,1.701,1.756,1.817,1.884,1.96,2.048,2.154,2.286,2.467,2.763,3.047,3.408,3.674
29.0,0.127,0.256,0.389,0.53,0.683,0.854,1.055,1.311,1.699,1.754,1.814,1.881,1.957,2.045,2.15,2.282,2.462,2.756,3.038,3.396,3.659
30.0,0.127,0.256,0.389,0.53,0.683,0.854,1.055,1.31,1.697,1.752,1.812,1.879,1.955,2.042,2.147,2.278,2.457,2.75,3.03,3.385,3.646
35.0,0.127,0.255,0.388,0.529,0.682,0.852,1.052,1.306,1.69,1.744,1.803,1.869,1.944,2.03,2.133,2.262,2.438,2.724,2.996,3.34,3.591
40.0,0.126,0.255,0.388,0.529,0.681,0.851,1.05,1.303,1.684,1.737,1.796,1.862,1.936,2.021,2.123,2.25,2.423,2.704,2.971,3.307,3.551
50.0,0.126,0.255,0.388,0.528,0.679,0.849,1.047,1.299,1.676,1.729,1.787,1.852,1.924,2.009,2.109,2.234,2.403,2.678,2.937,3.261,3.496
60.0,0.126,0.254,0.387,0.527,0.679,0.848,1.045,1.296,1.671,1.723,1.781,1.845,1.917,2.0,2.099,2.223,2.39,2.66,2.915,3.232,3.46
120.0,0.126,0.254,0.386,0.526,0.677,0.845,1.041,1.289,1.658,1.709,1.766,1.828,1.899,1.98,2.076,2.196,2.358,2.617,2.86,3.16,3.373
