x,auc
0.0,0.0
0.01,0.003989037583630704
0.02,0.007977995456501269
0.03,0.01196615567191602
0.04,0.015953119676287104
0.05,0.019938489274760426
0.06,0.023921866750521856
0.07,0.027902854983861025
0.08,0.031881057570938995
0.09,0.0358560789421963
0.1,0.039827524480348125
0.11,0.04379500063790087
0.12,0.04775811505413738
0.13,0.05171647667150886
0.14,0.055669695851381186
0.15,0.05961738448907195
0.16,0.06355915612812682
0.17,0.06749462607377542
0.18,0.07142341150551622
0.19,0.07534513158876968
0.2,0.07925940758554763
0.21,0.0831658629640895
0.22,0.0870641235074049
0.23,0.09095381742067687
0.24,0.09483457543746984
0.25,0.09870603092469732
0.26,0.1025678199862934
0.27,0.10641958156554401
0.28,0.11026095754602658
0.29,0.11409159285111645
0.3,0.11791113554200755
0.31,0.1217192369142076
0.32,0.1255155515924602
0.33,0.1292997376240565
0.34,0.13307145657048766
0.35000000000000003,0.13683037359740338
0.36,0.14057615756283293
0.37,0.1443084811036356
0.38,0.14802702072013713
0.39,0.15173145685892162
0.4,0.15542147399373993
0.41,0.1590967607045072
0.42,0.16275700975435028
0.43,0.16640191816467986
0.44,0.1700311872882536
0.45,0.1736445228802079
0.46,0.1772416351670246
0.47,0.18082223891341068
0.48,0.1843860534870694
0.49,0.18793280292133424
0.5,0.1914622159756493
0.51,0.19497402619387247
0.52,0.19846797196038807
0.53,0.2019437965540048
0.54,0.20540124819962885
0.55,0.2088400801176948
0.56,0.21226005057134467
0.5700000000000001,0.21566092291133854
0.58,0.2190424656186916
0.59,0.22240445234502512
0.6,0.22574666195062865
0.61,0.22906887854022204
0.62,0.2323708914964173
0.63,0.2356524955108744
0.64,0.23891349061315226
0.65,0.2421536821972521
0.66,0.2453728810458548
0.67,0.2485709033522556
0.68,0.2517475707400008
0.6900000000000001,0.2549027102802286
0.7000000000000001,0.2580361545067241
0.71,0.26114774142869285
0.72,0.2642373145412676
0.73,0.2673047228337518
0.74,0.2703498207956157
0.75,0.27337246842026003
0.76,0.2763725312065555
0.77,0.2793498801581794
0.78,0.28230439178076194
0.79,0.2852359480768643
0.8,0.28814443653880223
0.81,0.2910297501393408
0.8200000000000001,0.2938917873202761
0.8300000000000001,0.2967304519789329
0.84,0.2995456534525952
0.85,0.3023373065008976
0.86,0.30510533128620226
0.87,0.3078496533519902
0.88,0.3105702035992893
0.89,0.3132669182611723
0.9,0.3159397388753516
0.91,0.3185886122549027
0.92,0.32121349045714537
0.93,0.3238143307507162
0.94,0.3263910955808634
0.95,0.32894375253300073
0.96,0.3314722742945499
0.97,0.3339766386151106
0.98,0.3364568282649904
0.99,0.3389128309921345
1.0,0.34134463947748844
1.01,0.34375225128883197
1.02,0.3461356688331253
1.03,0.3484948993074013
1.04,0.35082995464824623
1.05,0.3531408514799055
1.06,0.35542761106105863
1.07,0.35769025923029835
1.08,0.3599288263503581
1.09,0.3621433472511265
1.1,0.3643338611714936
